smiles,bsse
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])S(=O)(=O)C([H])([H])C2([H])OC([H])([H])C([H])([H])C2([H])[H])c([H])c1O[H],-0.02443
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)/C(=C(\[H])c3c([H])c([H])c(O[H])c(O[H])c3[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1O[H],-0.245281
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)/C(=C(\[H])c3c([H])c([H])c(O[H])c(O[H])c3[H])C([H])([H])C2([H])[H])c([H])c1O[H],-0.253514
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)/C(=C(\[H])c3c([H])c([H])c(O[H])c(O[H])c3[H])C([H])([H])N([H])C2([H])[H])c([H])c1O[H],-0.249747
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)/C(=C(\[H])c3c([H])c([H])c(O[H])c(O[H])c3[H])C([H])([H])N(C([H])([H])[H])C2([H])[H])c([H])c1O[H],-0.248212
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)/C(=C(\[H])c3c([H])c([H])c(O[H])c(O[H])c3[H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])[H])C2([H])[H])c([H])c1O[H],-0.256763
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)/C(=C(\[H])c3c([H])c([H])c(O[H])c(O[H])c3[H])C([H])([H])N(C(=O)OC([H])([H])[H])C2([H])[H])c([H])c1O[H],-0.266329
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)/C(=C(\[H])c3c([H])c([H])c(O[H])c(O[H])c3[H])C([H])([H])N(C3([H])C([H])([H])C3([H])[H])C2([H])[H])c([H])c1O[H],-0.148016
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)/C(=C(\[H])c3c([H])c([H])c(O[H])c(O[H])c3[H])C([H])([H])OC2([H])[H])c([H])c1O[H],-0.237325
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)/C(=C(\[H])c3c([H])c([H])c(O[H])c(O[H])c3[H])C([H])([H])SC2([H])[H])c([H])c1O[H],-0.238341
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)c3c([H])c([H])c([H])n3C2([H])c2c([H])c([H])c(OC([H])([H])[H])c(O[H])c2[H])c([H])c1O[H],-0.022955
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)c3c([H])c([H])c(O[H])c(O[H])c3OC2([H])[H])c([H])c1[H],-0.087428
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)c3c([H])c([H])c(O[H])c(O[H])c3OC2([H])[H])c([H])c1O[H],-0.181269
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)c3c([H])c([H])c(OC([H])([H])[H])c([H])c3OC2([H])[H])c([H])c1O[H],-0.238158
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)c3c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c3OC2([H])[H])c([H])c1O[H],-0.190174
[H]Oc1c([H])c([H])c(/C([H])=C2/C(=O)c3c([H])c([H])c(OC([H])([H])C([H])([H])C([H])([H])[H])c([H])c3OC2([H])[H])c([H])c1O[H],-0.147845
[H]Oc1c([H])c([H])c(/C([H])=C2/SC(=O)N([H])C2=O)c([H])c1[H],-0.147169
[H]Oc1c([H])c([H])c(/C([H])=C2/SC(=O)N([H])C2=O)c([H])c1OC([H])([H])[H],-0.094787
